Time,L1,T1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,B5.MN_h:m
3/19/16 6:9:27,91,8,0,0,0,0,0,0,0,0,359
3/19/16 6:15:28,91,8,0,0,0,0,0,0,0,0,365
3/19/16 6:21:30,91,8,0,0,0,0,0,0,0,0,371
3/19/16 6:27:30,92,8,0,0,0,0,0,0,0,0,377
3/19/16 6:33:31,92,8,0,0,0,0,0,0,0,0,383
3/19/16 6:39:32,92,8,0,0,0,0,0,0,0,0,389
3/19/16 6:45:33,92,8,0,0,0,0,0,0,0,0,395
3/19/16 6:51:35,92,8,0,0,0,0,0,0,0,0,401
3/19/16 6:57:35,92,8,0,0,0,0,0,0,0,0,407
3/19/16 7:3:36,92,8,0,0,0,0,0,0,0,0,413
3/19/16 7:9:37,92,8,0,0,0,0,0,0,0,0,419
3/19/16 7:15:38,92,8,0,0,0,0,0,0,0,0,425
3/19/16 7:21:39,92,8,0,0,0,0,0,0,0,0,431
3/19/16 7:27:40,92,8,0,0,0,0,0,0,0,0,437
3/19/16 7:33:41,92,8,0,0,0,0,0,0,0,0,443
3/19/16 7:39:42,92,8,0,0,0,0,0,0,0,0,449
3/19/16 7:45:43,92,8,0,0,0,0,0,0,0,0,455
3/19/16 7:51:44,92,8,0,0,0,0,0,0,0,0,461
3/19/16 7:57:45,92,8,0,0,0,0,0,0,0,0,467
3/19/16 8:3:46,92,8,0,0,0,0,0,0,0,0,473
3/19/16 8:9:47,92,8,0,0,0,0,0,0,0,0,479
3/19/16 8:15:48,92,8,0,0,0,0,0,0,0,0,485
3/19/16 8:21:49,92,8,0,0,0,0,0,0,0,0,491
3/19/16 8:27:50,92,8,0,0,0,0,0,0,0,0,497
3/19/16 8:33:51,92,8,0,0,0,0,0,0,0,0,503
3/19/16 8:39:52,92,8,0,0,0,0,0,0,0,0,509
3/19/16 8:45:53,92,8,0,0,0,0,0,0,0,0,515
3/19/16 8:51:54,92,8,0,0,0,0,0,0,0,0,521
3/19/16 8:57:55,92,8,0,0,0,0,0,0,0,0,527
3/19/16 9:3:56,93,8,0,0,0,0,0,0,0,0,533
3/19/16 9:9:57,93,8,0,0,0,0,0,0,0,0,539
3/19/16 9:15:58,94,8,0,0,0,0,0,0,0,0,545
3/19/16 9:21:59,94,8,0,0,0,0,0,0,0,0,551
3/19/16 9:28:0,94,8,0,0,0,0,0,0,0,0,557
